Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.3720202445983887, 22.410757699922843)
(1.371999740600586, 22.056321649202328)
(1.4479804039001465, 22.41754199754308)
(1.3690176010131836, 22.562104762265648)
(1.4019775390625, 22.51713902576091)
(1.3630156517028809, 22.401393721791106)
(1.3770036697387695, 22.48100597591558)
(1.3670220375061035, 22.16948773905799)
(1.3539807796478271, 22.307245008406223)
(1.4539811611175537, 22.262136483268062)
(1.4180114269256592, 22.325520232081715)
(1.357999324798584, 22.51380203974996)
(1.3759777545928955, 22.32955916986652)
(1.3740019798278809, 22.334709496491648)
(1.3900163173675537, 22.191579111907583)
(1.4189813137054443, 22.20374688634429)
(1.389993667602539, 22.461414888091465)
(1.443995475769043, 22.147851355064347)
(1.461998462677002, 22.484286760166956)
(1.364020824432373, 22.673158764638835)
(1.408019781112671, 20.781788734674485)
(1.3619990348815918, 22.567300434970647)
(1.3520209789276123, 22.01671599119115)
(1.361997365951538, 22.403524844111242)
(1.3770170211791992, 21.868762455605307)
(1.3639848232269287, 22.600059794379224)
(1.3590202331542969, 22.338754663779188)
(1.3669977188110352, 22.841521776817675)
(1.4289946556091309, 22.398679699837363)
(1.3720054626464844, 23.08950285902116)
(1.3869764804840088, 22.252249413872274)
(1.3939993381500244, 22.295325211414188)
(1.369016408920288, 22.05884857999631)
(1.4019887447357178, 22.318293222750274)
(1.390993595123291, 22.477078262280823)
(1.4230022430419922, 22.471238426023113)
(1.426011562347412, 22.005492163513214)
(1.413985252380371, 22.66464510087993)
(1.3780162334442139, 22.314317649270873)
(1.4009783267974854, 22.416529061641974)
(1.376997947692871, 22.299241216424143)
(1.3879988193511963, 22.62802474552391)
(1.4270024299621582, 22.080585231941438)
(1.3660168647766113, 22.50631374516994)
(1.3729674816131592, 22.3198431009599)
(1.3570208549499512, 22.508913727363876)
(1.3659992218017578, 21.785688139939893)
(1.3699772357940674, 22.290254303994352)
(1.3830206394195557, 22.390298839765748)
(1.409977674484253, 20.912952092127725)

Promedio de tiempos:
1.3885399961471558 segundos
1388.5399961471558 milisegundos

Desviación estándar:
0.02808805474470706 segundos
28.088054744707062 milisegundos

Promedio valor función objetivo:
22.30307012513557
Desviación estándar valor función objetivo:
0.02808805474470706
