Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.5759797096252441, 22.29732350728079)
(0.5910179615020752, 22.33989759487737)
(0.6179807186126709, 22.32127842363236)
(0.5770120620727539, 22.3303580361168)
(0.575981616973877, 22.68919485253343)
(0.5750157833099365, 22.297014105321786)
(0.5869996547698975, 22.32259976852291)
(0.5820004940032959, 22.420083802004967)
(0.5859799385070801, 22.195269224950174)
(0.574016809463501, 22.222573400188878)
(0.5980005264282227, 22.028200831764426)
(0.5850167274475098, 22.096398885957786)
(0.5790083408355713, 22.008253311111215)
(0.583000898361206, 22.76233727315303)
(0.5839993953704834, 22.716516776498555)
(0.5839989185333252, 22.516075798521847)
(0.5939877033233643, 22.383993206332498)
(0.5810010433197021, 22.100049014633466)
(0.5819840431213379, 22.40257841613804)
(0.5869975090026855, 22.490678720486475)
(0.5719773769378662, 22.234967515690045)
(0.5940160751342773, 20.662861631643267)
(0.5780174732208252, 22.597058258337203)
(0.5850002765655518, 22.55613545792074)
(0.5789957046508789, 22.296526422360273)
(0.5829992294311523, 22.724196157874324)
(0.5860016345977783, 22.520467027133616)
(0.5819964408874512, 22.871221020380442)
(0.582014799118042, 22.129886023236455)
(0.5790190696716309, 22.32785506697167)
(0.6000120639801025, 20.387599094601004)
(0.5969994068145752, 22.35789496652143)
(0.5730042457580566, 21.920969754077387)
(0.5839986801147461, 22.103829520778618)
(0.5970005989074707, 22.39137734015291)
(0.5809996128082275, 22.57780810925367)
(0.5820002555847168, 22.649729891752763)
(0.578000545501709, 22.415753885726478)
(0.5809998512268066, 22.2251256221797)
(0.5939998626708984, 22.283003556375792)
(0.5800015926361084, 22.33602012433668)
(0.5999836921691895, 22.23612465028833)
(0.5750167369842529, 22.390643307857232)
(0.5809774398803711, 22.30714951293996)
(0.5780215263366699, 22.354611104277545)
(0.5879979133605957, 22.411369233553355)
(0.5809955596923828, 22.607983504761325)
(0.5820164680480957, 22.38599835503128)
(0.5849993228912354, 22.78786042505708)
(0.5899994373321533, 22.36972550183817)

Promedio de tiempos:
0.5845208549499512 segundos
584.5208549499512 milisegundos

Desviación estándar:
0.008474221325886684 segundos
8.474221325886685 milisegundos

Promedio valor función objetivo:
22.307248539858715
Desviación estándar valor función objetivo:
0.008474221325886684
