Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(-3343.0049362182617, 22.48517048136857)
(1.8430700302124023, 21.895292400472652)
(1.8860318660736084, 22.34558597994835)
(1.939215898513794, 22.147622538429182)
(1.9172804355621338, 22.744703542673978)
(1.9442389011383057, 21.831322607295025)
(1.9085092544555664, 22.16308323481331)
(1.8350965976715088, 22.324981482057446)
(1.9042911529541016, 22.262102606019607)
(1.9652807712554932, 20.6470515650091)
(1.9094691276550293, 22.369433953826167)
(1.910435676574707, 22.34797910111067)
(1.854567527770996, 21.896972852338124)
(1.910024642944336, 22.49067631250193)
(1.9397149085998535, 22.39821357554899)
(1.9334721565246582, 21.95150659933298)
(2.003702163696289, 22.181146049004976)
(1.8476107120513916, 22.076949878998175)
(1.875823736190796, 22.341560905139357)
(1.8646280765533447, 22.464859744094408)
(1.8515262603759766, 22.544662635517632)
(2.123605728149414, 22.2133229800108)
(1.89805269241333, 22.047650438664647)
(1.9161102771759033, 21.917382522633527)
(1.9584484100341797, 22.385250043771435)
(1.8566362857818604, 22.411212884493622)
(1.9989426136016846, 22.181511470170243)
(1.923478364944458, 22.174042620934593)
(1.8739662170410156, 22.203712126845254)
(1.8459198474884033, 22.262147088254384)
(1.8577556610107422, 22.578200290683263)
(1.9277844429016113, 21.962096386211392)
(1.8479092121124268, 22.436519867189176)
(1.871969223022461, 22.361650800482828)
(1.8855226039886475, 22.300981619342707)
(1.9039573669433594, 22.001137430230212)
(2.008669376373291, 20.685631275125697)
(1.850815773010254, 22.589466406475683)
(1.9051709175109863, 22.48161426460621)
(1.8412115573883057, 22.254322452675023)
(1.8535103797912598, 22.46729652563454)
(1.9004757404327393, 22.53395509800171)
(1.9239497184753418, 22.15191587681038)
(1.8813233375549316, 22.188629932452)
(1.889760971069336, 22.227124593053635)
(1.9078996181488037, 22.115818471003948)
(1.9147191047668457, 22.465147024546013)
(2.0937204360961914, 22.350717033248486)
(1.8699839115142822, 22.138918374311963)
(1.931401252746582, 22.11038865130449)

Promedio de tiempos:
-64.98996550559997 segundos
-64989.96550559997 milisegundos

Desviación estándar:
468.28785662211965 segundos
468287.85662211967 milisegundos

Promedio valor función objetivo:
22.20217285189337
Desviación estándar valor función objetivo:
0.3730744580519641
