Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.630091428756714, 22.460262077992944)
(3.6220877170562744, 22.55597178758316)
(3.689859628677368, 22.37737056192541)
(3.666396141052246, 21.95825760242625)
(3.6562864780426025, 22.256497216541074)
(3.6112899780273438, 22.01279470275317)
(3.6156511306762695, 22.515526277974192)
(3.7825112342834473, 22.405389331802574)
(3.647738456726074, 22.73788250787348)
(3.649463415145874, 22.448727158575654)
(3.676335573196411, 22.340246345344134)
(3.6129846572875977, 22.924987128648628)
(3.760014057159424, 22.74463831963286)
(3.6846165657043457, 22.76038444389991)
(3.6367061138153076, 22.818002154117323)
(3.7266879081726074, 22.807823874453465)
(3.671172857284546, 22.303547836668784)
(3.5827789306640625, 20.60849712047474)
(3.6577913761138916, 22.64318745764803)
(3.749163866043091, 22.154902041166213)
(3.6546177864074707, 21.84628502865661)
(3.6666362285614014, 22.269173587187108)
(3.759108304977417, 22.46916923745381)
(3.7745361328125, 22.576727364493248)
(3.633169174194336, 22.224952423384455)
(3.7152326107025146, 21.711160151661346)
(3.7083346843719482, 22.088844014908123)
(4.000459432601929, 22.421272590972247)
(3.538299798965454, 22.152366516784795)
(3.559396982192993, 22.02194780040464)
(3.5095202922821045, 22.38381512934953)
(3.525451898574829, 22.354280905180296)
(3.6136996746063232, 22.544267019734868)
(3.496483564376831, 22.435525961065917)
(3.561797618865967, 22.45158539800041)
(3.5395009517669678, 22.535713276432055)
(3.558082342147827, 22.324388155181015)
(3.7625913619995117, 22.20431037933083)
(4.104737043380737, 22.343839232648996)
(3.9646389484405518, 22.47663285079077)
(3.858656406402588, 22.354015209202746)
(3.8335564136505127, 22.425162949646534)
(3.785520553588867, 22.510955608454886)
(3.8065359592437744, 22.109692698085986)
(3.6814539432525635, 22.33813483141398)
(3.760504722595215, 22.22620216643157)
(3.8215465545654297, 22.22112242448758)
(3.777677536010742, 22.382513621296667)
(3.808534860610962, 22.486092552149174)
(4.9002845287323, 22.57162545437449)

Promedio de tiempos:
3.7202038764953613 segundos
3720.2038764953613 milisegundos

Desviación estándar:
0.208169975900987 segundos
208.169975900987 milisegundos

Promedio valor función objetivo:
22.34593340973333
Desviación estándar valor función objetivo:
0.3479148786242847
