Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.2149660587310791, 20.563242533111346)
(0.19699883460998535, 22.308169068551532)
(0.22400164604187012, 22.365104185151466)
(0.2409970760345459, 21.94128809616969)
(0.23201966285705566, 22.672291002846592)
(0.18999886512756348, 22.258752277632997)
(0.20401263236999512, 22.565043116954193)
(0.17499852180480957, 22.186924528798855)
(0.20099639892578125, 22.449506910606697)
(0.20600056648254395, 22.373318711968523)
(0.1919693946838379, 21.92428247491939)
(0.2396233081817627, 22.752795734331283)
(0.19698691368103027, 22.26543201880567)
(0.18297743797302246, 22.73467615723148)
(0.29330968856811523, 22.259948837414886)
(0.21205830574035645, 22.037684979170542)
(0.22300195693969727, 22.10739771867077)
(0.22799968719482422, 22.496537898144254)
(0.2399921417236328, 20.40748767387402)
(0.23300743103027344, 22.53554970334661)
(0.2696983814239502, 22.57439102871027)
(0.23019003868103027, 22.362300074061807)
(0.29600071907043457, 21.938661102627194)
(0.18999338150024414, 22.165011989319293)
(0.20597100257873535, 22.628720864601686)
(0.2129802703857422, 22.08826749077972)
(0.20002102851867676, 20.719202485312273)
(0.31112074851989746, 22.244696686463907)
(0.24212360382080078, 22.160030311772672)
(0.24371743202209473, 22.28309972160843)
(0.28908610343933105, 22.46571682877011)
(0.2135303020477295, 22.141765298338598)
(0.21198439598083496, 21.556944867384146)
(0.18700432777404785, 22.357834615705073)
(0.20399832725524902, 22.431898187606386)
(0.1929764747619629, 21.834899744837564)
(0.19897723197937012, 21.878581583146822)
(0.20901894569396973, 22.427132228666036)
(0.2070002555847168, 22.60062965065678)
(0.1869800090789795, 22.11928218844662)
(0.22399425506591797, 22.357500577773795)
(0.2938663959503174, 22.424941194920866)
(0.1969761848449707, 22.48206653455554)
(0.1979978084564209, 22.244443694237287)
(0.1929776668548584, 22.28233095958088)
(0.2020249366760254, 22.729971806241085)
(0.1960129737854004, 22.258861086340314)
(0.31352853775024414, 22.140023374308083)
(0.21400046348571777, 22.34194213869527)
(0.19699931144714355, 22.19645014249548)

Promedio de tiempos:
0.22113336086273194 segundos
221.13336086273193 milisegundos

Desviación estándar:
0.03447719249784355 segundos
34.47719249784355 milisegundos

Promedio valor función objetivo:
22.192860641713295
Desviación estándar valor función objetivo:
0.03447719249784355
