Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.295490026473999, 31.04989772376264)
(1.4424586296081543, 30.963448106530258)
(1.4881296157836914, 30.961811484643665)
(1.348395586013794, 31.02739755043898)
(0.8597614765167236, 31.029591537597057)
(1.2674098014831543, 31.0425804634635)
(1.3173754215240479, 30.948115992823237)
(1.2093024253845215, 31.016011266010594)
(1.5265147686004639, 30.97322155270412)
(1.380918025970459, 31.05385669994461)
(1.3979296684265137, 31.141971869699155)
(1.4289493560791016, 31.02627353721614)
(1.3445191383361816, 30.96480732067747)
(1.2563347816467285, 30.995397043470682)
(1.5366535186767578, 30.972590455862406)
(1.581549882888794, 30.980886192266777)
(1.1752815246582031, 30.93409273719335)
(1.5985617637634277, 31.000951245192407)
(1.1212449073791504, 31.035183989510916)
(1.0697100162506104, 31.062835213453532)
(1.5907411575317383, 30.9806680902951)
(0.9911589622497559, 30.96560788704006)
(1.8092026710510254, 31.004596091548812)
(1.5270140171051025, 31.014472840677097)
(1.2118048667907715, 31.039491611151945)
(1.0376896858215332, 30.89244963805074)
(1.4969947338104248, 30.9692655466466)
(1.295360803604126, 30.980994445816524)
(1.442458152770996, 30.94074682952174)
(1.5111498832702637, 31.00934282959867)
(1.6671080589294434, 30.9222369070624)
(1.5545330047607422, 30.943016387135874)
(1.696190595626831, 30.97077773769492)
(1.611640453338623, 30.98973835216369)
(1.2268142700195312, 30.87830432513551)
(1.12180495262146, 31.052086202429045)
(0.9617114067077637, 30.970953993242983)
(1.8297162055969238, 30.925275876776524)
(1.2579634189605713, 31.013544600858534)
(1.2218117713928223, 30.962611016319205)
(1.3413913249969482, 31.048903241907336)
(1.213491439819336, 30.915156763265006)
(1.3730545043945312, 31.030602714770833)
(1.5044996738433838, 30.9946335687132)
(0.9446284770965576, 30.99359721574369)
(1.4454607963562012, 30.940834036227614)
(0.9216129779815674, 30.935012787856405)
(1.4996187686920166, 31.046795986525467)
(1.207301378250122, 31.075993651655754)
(1.4619719982147217, 31.0332555048415)

Promedio de tiempos:
1.3524478149414063 segundos
1352.4478149414062 milisegundos

Desviación estándar:
0.2246411933299241 segundos
224.6411933299241 milisegundos

Promedio valor función objetivo:
30.992437773262687
Desviación estándar valor función objetivo:
0.05063151488722223
