Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 30 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(4.843860864639282, 21.88895733067144)
(4.883845090866089, 22.266046488533256)
(4.849840402603149, 22.5267724103739)
(4.880774021148682, 22.49847282280862)
(4.854476690292358, 22.34487949466417)
(4.883276700973511, 22.671590097773205)
(4.87780499458313, 22.279942888258226)
(4.909262418746948, 22.621977456740428)
(4.8612306118011475, 21.86366896127424)
(4.904817819595337, 22.583146518601428)
(4.889855861663818, 22.390299256517316)
(4.866734027862549, 22.614215369388216)
(4.869532108306885, 22.746638347561774)
(4.899755001068115, 22.412666688410283)
(4.895968198776245, 22.584444820556115)
(4.87887716293335, 22.820268034608212)
(4.873833894729614, 22.356424321025642)
(4.849722862243652, 22.68319566650617)
(4.889439821243286, 22.836608754870074)
(4.875741004943848, 22.612237240633274)
(4.893484354019165, 22.043532334269933)
(4.851223945617676, 22.47507570939329)
(4.947418928146362, 22.51288829673823)
(4.839720726013184, 21.892320434426047)
(4.863872289657593, 22.3634972232921)
(4.8608832359313965, 22.150310751849222)
(4.872903108596802, 22.5229341421902)
(4.854226112365723, 22.4678578658222)
(4.8892481327056885, 21.921912415994186)
(4.831210613250732, 22.116251565567406)
(4.916767597198486, 22.07215923189719)
(4.859228849411011, 22.465084184655456)
(4.893330335617065, 22.728600251171883)
(4.8722381591796875, 22.292292044381075)
(4.89625358581543, 22.59146572399892)
(4.855848073959351, 22.150045874264976)
(4.915425062179565, 22.654993585315584)
(4.853725433349609, 22.745970909966655)
(4.874239683151245, 22.255974477112964)
(4.871357202529907, 22.318793116437746)
(4.89785361289978, 22.49499864353711)
(4.8732383251190186, 22.810817984255163)
(4.855852365493774, 22.289571367924722)
(4.8817431926727295, 22.462856610722593)
(4.921921730041504, 22.256413208182515)
(4.838215351104736, 22.29528094223033)
(4.921404123306274, 22.174075967459252)
(4.864232301712036, 22.670191765191596)
(4.889407634735107, 22.779011586911853)
(4.845296621322632, 21.94203392609266)

Promedio de tiempos:
4.876808404922485 segundos
4876.808404922485 milisegundos

Desviación estándar:
0.024462138624371466 segundos
24.462138624371466 milisegundos

Promedio valor función objetivo:
22.410393302220577
Desviación estándar valor función objetivo:
0.2644607777600979
