Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(4.4250452518463135, 22.438273186841123)
(4.172215223312378, 22.36136146368318)
(4.202484607696533, 22.719398387641395)
(4.275249242782593, 22.359270925818194)
(4.234788179397583, 22.594491172836236)
(4.229910612106323, 22.54930920402739)
(4.259526491165161, 22.2028675376548)
(4.30712366104126, 22.698730892543114)
(4.151900768280029, 22.446759405161387)
(4.316303014755249, 20.685736104106915)
(4.27263879776001, 22.226163554538214)
(4.157906770706177, 22.182621546598615)
(4.167239427566528, 22.19154148336955)
(4.19394326210022, 22.37787302364275)
(4.236591339111328, 22.499363857670406)
(4.1744489669799805, 22.68172556738958)
(4.688007593154907, 22.43101262009017)
(4.144711017608643, 22.263911648022088)
(4.20885968208313, 22.908926225110484)
(4.226161241531372, 22.470690398529534)
(4.209531784057617, 22.439854783868725)
(4.266675710678101, 22.61662596146505)
(5.737020015716553, 22.643969429441096)
(4.351097822189331, 22.298372289305547)
(4.12579345703125, 22.407529289449258)
(4.218109369277954, 22.276446569328154)
(4.375538349151611, 22.716261160036012)
(4.235266923904419, 22.846433395959536)
(4.226873397827148, 22.38409828219995)
(4.6156744956970215, 22.579733555524413)
(4.5622029304504395, 22.73031432654283)
(4.384060382843018, 22.539105359263917)
(4.508620500564575, 22.727201325363843)
(4.489811658859253, 22.48222464376233)
(4.16225004196167, 22.57123740194712)
(4.427661657333374, 22.436852540516277)
(4.242400646209717, 22.29569073219463)
(4.227931976318359, 22.766217644430224)
(4.30229640007019, 22.571803208302587)
(4.23021125793457, 22.35565906786593)
(4.240954875946045, 22.340754973978534)
(4.181024074554443, 22.656921382771305)
(4.185976982116699, 22.419065392390767)
(4.230609893798828, 22.2290304059689)
(4.304392576217651, 20.696398349206834)
(4.319705247879028, 22.1904299021042)
(4.288982629776001, 22.591515915535442)
(4.258152961730957, 22.36273721858429)
(4.30454683303833, 22.339499118536224)
(4.387409925460815, 22.551434885263838)

Promedio de tiempos:
4.312916798591614 segundos
4312.916798591614 milisegundos

Desviación estándar:
0.23677520253041165 segundos
236.77520253041166 milisegundos

Promedio valor función objetivo:
22.407068934327658
Desviación estándar valor función objetivo:
0.23677520253041165
