Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 80 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.152523994445801, 22.13065864207452)
(2.774563789367676, 22.276714055651368)
(2.9816017150878906, 22.196086148144786)
(2.579005479812622, 22.43731163295951)
(2.7518982887268066, 22.199044682362484)
(3.031172752380371, 22.710354141841623)
(3.085707664489746, 22.317799717672656)
(3.2152748107910156, 22.168946858582423)
(2.707188367843628, 22.44950945140013)
(3.144418239593506, 22.30379422868504)
(3.091500759124756, 22.44315141249186)
(3.200892925262451, 20.620924842157823)
(2.872917652130127, 22.585534383376178)
(3.184035301208496, 21.932738256470323)
(3.1703739166259766, 22.39516071527741)
(3.192093849182129, 22.314428749969792)
(2.9761641025543213, 22.280627778380723)
(3.1530442237854004, 22.328537246834408)
(2.904425621032715, 22.448598906592082)
(3.434767961502075, 22.31526204660276)
(3.07607364654541, 22.649477666161264)
(3.108419179916382, 22.470208564904492)
(3.1840782165527344, 22.05753403464857)
(2.864023447036743, 20.83924822635516)
(2.761141300201416, 22.541070889352664)
(2.8508241176605225, 22.34426661156111)
(2.8130364418029785, 21.060850021503075)
(3.1422576904296875, 22.453790511872924)
(2.67448091506958, 22.378188988246457)
(3.0270943641662598, 22.25359133328374)
(2.6849215030670166, 22.554844267062055)
(2.650914192199707, 22.38755438015048)
(2.622681140899658, 22.354718123900383)
(2.696401357650757, 20.747607402501707)
(2.894643783569336, 22.411059081752022)
(3.244119644165039, 22.191835841644348)
(3.2148385047912598, 21.998074821030666)
(3.1175782680511475, 21.93200342400835)
(2.9327073097229004, 22.315416451755745)
(2.860292434692383, 22.079102912177284)
(2.867889881134033, 22.107572416147843)
(3.07236909866333, 22.227046457337448)
(3.076357126235962, 22.307498731450767)
(2.809401273727417, 22.291670316377548)
(2.8941810131073, 21.874616986974484)
(2.859733819961548, 22.23090268132199)
(2.9089787006378174, 22.364451396235303)
(3.353020668029785, 22.307620420417695)
(3.211716651916504, 22.181347148157503)
(3.2529780864715576, 22.773764340895696)

Promedio de tiempos:
2.9666145038604737 segundos
2966.6145038604736 milisegundos

Desviación estándar:
0.23492466063016182 segundos
234.9246606301618 milisegundos

Promedio valor función objetivo:
22.190842366934334
Desviación estándar valor función objetivo:
0.4471645217575275
