Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 40 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.1280152797698975, 22.443070708819693)
(1.0839905738830566, 21.827314767252613)
(0.9696643352508545, 22.121717083705086)
(0.9210782051086426, 22.407094753133798)
(1.006666898727417, 22.223851342127077)
(0.9085659980773926, 22.32735384688788)
(0.9100584983825684, 22.101992629293026)
(0.9493467807769775, 22.317283603739384)
(1.04008150100708, 22.13948066634905)
(1.0650880336761475, 20.772539666203773)
(0.9714148044586182, 22.333435692875714)
(1.0143170356750488, 22.532936625625734)
(0.9828546047210693, 21.69696851472067)
(0.9603898525238037, 22.135421186162052)
(0.8991570472717285, 21.83942033498957)
(1.0555152893066406, 22.66105622697147)
(1.018059492111206, 22.761024500540444)
(0.9824388027191162, 22.05549643749205)
(0.8406236171722412, 22.41803888677465)
(0.921231746673584, 22.510419918471733)
(1.0944404602050781, 22.291100376656164)
(0.9926154613494873, 22.253208465023874)
(0.9171938896179199, 22.680868238919413)
(0.9226431846618652, 22.438085096457073)
(0.915656328201294, 22.452499689005077)
(0.8453643321990967, 22.627563928451224)
(1.0550191402435303, 22.45548235245336)
(0.9009597301483154, 22.339946458467146)
(0.8887290954589844, 22.33025960088011)
(0.9370315074920654, 22.373563639284104)
(0.8673222064971924, 22.454620648626936)
(0.8968713283538818, 22.684086884047222)
(0.8553469181060791, 22.342027848982962)
(1.0896446704864502, 22.353596082315804)
(0.956467866897583, 22.286112996475953)
(0.9637916088104248, 22.347631490451974)
(1.1167879104614258, 22.429762240299056)
(0.8402869701385498, 22.07169953514717)
(1.0246062278747559, 22.133724205253156)
(0.8972988128662109, 22.36325086391729)
(0.889047384262085, 22.7850004712221)
(0.9595646858215332, 21.970577476911394)
(0.886760950088501, 22.006464238393693)
(0.9399735927581787, 20.796955119893184)
(0.9920558929443359, 22.34811948348738)
(0.8677656650543213, 21.91386791487991)
(0.9980390071868896, 22.26661847656223)
(0.9998965263366699, 22.15608343351179)
(1.1014902591705322, 22.401406618789842)
(1.054335355758667, 22.155108356411787)

Promedio de tiempos:
0.9659113073348999 segundos
965.9113073348999 milisegundos

Desviación estándar:
0.07741764886787805 segundos
77.41764886787806 milisegundos

Promedio valor función objetivo:
22.242704192466277
Desviación estándar valor función objetivo:
0.07741764886787805
