Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 10 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.48436474800109863, 22.338628071120333)
(0.4843895435333252, 22.564928589151005)
(0.4844484329223633, 22.489571693810976)
(0.4842991828918457, 22.186507234124864)
(0.48397064208984375, 22.444600895698553)
(0.48438143730163574, 20.557664449329092)
(0.4843761920928955, 22.374550616959812)
(0.4843747615814209, 22.352932502166606)
(0.48436641693115234, 22.47714546055776)
(0.4999988079071045, 22.084603412951232)
(0.4687538146972656, 22.167282086718803)
(0.4686715602874756, 22.172412544334144)
(0.48438167572021484, 22.639618333911525)
(0.48750877380371094, 22.34851783353474)
(0.47687530517578125, 22.53077675181927)
(0.484375, 22.529754542637537)
(0.4843735694885254, 22.238190468986936)
(0.4843719005584717, 22.372863885430778)
(0.4843740463256836, 22.44444175363626)
(0.48438429832458496, 22.496050361325057)
(0.4843730926513672, 22.283685938760225)
(0.48436403274536133, 22.30639324114125)
(0.4843783378601074, 22.364368109822234)
(0.48438048362731934, 22.289829902917795)
(0.48436713218688965, 22.450836240730588)
(0.4856877326965332, 22.38231474321762)
(0.4687485694885254, 22.561350700465667)
(0.4843738079071045, 22.188751474278174)
(0.4843783378601074, 22.433192187495443)
(0.48436856269836426, 20.488901312579344)
(0.5000066757202148, 22.389988127499414)
(0.4843595027923584, 22.47439062262448)
(0.46874237060546875, 22.408511475323362)
(0.4843778610229492, 22.614771381210886)
(0.484377384185791, 22.111344775803623)
(0.48436999320983887, 22.20762594867902)
(0.46875882148742676, 22.34364864457965)
(0.4687530994415283, 22.412054442362653)
(0.4843754768371582, 22.297947230785503)
(0.48438096046447754, 22.74749630630289)
(0.48436927795410156, 22.856858222444004)
(0.48436760902404785, 22.41027979870125)
(0.5000083446502686, 22.378632737883244)
(0.48436927795410156, 22.932616379134558)
(0.5468733310699463, 22.07827498510158)
(0.46994829177856445, 22.436549454436392)
(0.46875596046447754, 22.383638848084686)
(0.4843788146972656, 22.511134315487226)
(0.48438191413879395, 22.805745372304656)
(0.48437070846557617, 22.249884979917038)

Promedio de tiempos:
0.4840157175064087 segundos
484.0157175064087 milisegundos

Desviación estándar:
0.011506157967422723 segundos
11.506157967422723 milisegundos

Promedio valor función objetivo:
22.332241187765593
Desviación estándar valor función objetivo:
0.011506157967422723
