Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.7031292915344238, 22.757427128856214)
(0.6874959468841553, 22.129198612440646)
(0.7031257152557373, 22.210814572667513)
(0.7031242847442627, 22.509932061041557)
(0.7031204700469971, 22.578489201646907)
(0.703129768371582, 22.231700064435074)
(0.7031211853027344, 22.514842661864325)
(0.6886599063873291, 22.0674840904004)
(0.6874921321868896, 22.254954355772924)
(0.6874957084655762, 22.455896660383978)
(0.7031223773956299, 22.5452061390665)
(0.7031269073486328, 22.750560207256147)
(0.7031276226043701, 22.31115160264291)
(0.6874997615814209, 21.883744270297463)
(0.7031254768371582, 22.281849406133013)
(0.7031247615814209, 22.41209873211967)
(0.7031247615814209, 22.35430785133691)
(0.7031207084655762, 22.734563700735286)
(0.7031288146972656, 22.495592915288583)
(0.7042436599731445, 21.879377848192696)
(0.7031195163726807, 22.18081099051811)
(0.7031266689300537, 22.725071131851358)
(0.7031257152557373, 22.173325396243094)
(0.703125, 22.56934577384331)
(0.7187464237213135, 21.75216053859128)
(0.7031290531158447, 21.97714243859296)
(0.703127384185791, 21.675505488313338)
(0.703125, 22.34314280843345)
(0.6874940395355225, 21.823630101992144)
(0.6874985694885254, 22.000700202310504)
(0.6874997615814209, 22.185794633502876)
(0.7031247615814209, 22.68883439291094)
(0.7031247615814209, 22.407697662633275)
(0.7031247615814209, 22.121635143171254)
(0.7031280994415283, 22.51662430224328)
(0.7031204700469971, 22.318149460044573)
(0.7031254768371582, 22.265037462905365)
(0.703125, 22.38477215745226)
(0.7031209468841553, 22.34246836395728)
(0.7031245231628418, 22.304789599245243)
(0.7031230926513672, 22.42370015425194)
(0.7031264305114746, 22.66612838360144)
(0.7031211853027344, 21.980182630325896)
(0.7031207084655762, 22.199328899347165)
(0.7031290531158447, 22.749273506240225)
(0.7031254768371582, 22.637823319210067)
(0.7187504768371582, 22.528772360391294)
(0.7031245231628418, 22.304640758570574)
(0.7031197547912598, 22.09770344555866)
(0.7031300067901611, 22.373410200264566)

Promedio de tiempos:
0.7012949180603028 segundos
701.2949180603027 milisegundos

Desviación estándar:
0.006694702533097096 segundos
6.694702533097097 milisegundos

Promedio valor función objetivo:
22.32153587578193
Desviación estándar valor función objetivo:
0.006694702533097096
