Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.562504768371582, 22.123663056143133)
(0.37499427795410156, 22.00290192768606)
(0.40625476837158203, 22.409824646979455)
(0.35936880111694336, 22.01115609333616)
(0.4062502384185791, 22.182378574234097)
(0.3593788146972656, 22.000129103211172)
(0.5937402248382568, 22.354710122927493)
(0.703129768371582, 22.26957248809718)
(0.4218771457672119, 22.01122958485312)
(0.5937516689300537, 22.34029065013662)
(0.43750476837158203, 22.479294609316366)
(0.7812416553497314, 22.10151144446701)
(0.4843740463256836, 22.120923477659105)
(0.42186903953552246, 22.468883905689957)
(0.48438096046447754, 22.357204376313714)
(0.5156204700469971, 22.388719045197714)
(0.46875691413879395, 22.602674351565504)
(0.37499499320983887, 22.906972778382645)
(0.3293490409851074, 22.719213075038873)
(0.5783379077911377, 22.435530249003403)
(0.4037320613861084, 22.3341109049873)
(0.4375019073486328, 22.221076570472245)
(0.49999475479125977, 22.54062389723449)
(0.640625, 22.682816020256027)
(0.4375007152557373, 22.50332459703137)
(0.3593728542327881, 22.348498815040124)
(0.8906328678131104, 22.65013431089288)
(0.5156176090240479, 22.228879255331407)
(0.4375176429748535, 22.621397641429578)
(0.3593623638153076, 22.171399016717878)
(0.4375131130218506, 21.086184899054015)
(0.7812433242797852, 22.525455098095748)
(0.42188429832458496, 22.19456062625636)
(0.4531247615814209, 22.50056946733617)
(0.6249923706054688, 20.4635559418198)
(0.5781209468841553, 21.798839409672137)
(0.6093764305114746, 22.108297147126727)
(0.3750138282775879, 21.964747415112143)
(0.4062318801879883, 22.22363261943501)
(0.312502384185791, 20.96280012501679)
(0.5156285762786865, 22.242105857237572)
(0.796886682510376, 22.536729184296323)
(0.46874094009399414, 22.02594535995899)
(0.5312542915344238, 22.4889145671215)
(0.3749990463256836, 22.485801328002832)
(0.6562542915344238, 22.37707005410524)
(0.406247615814209, 22.451604677998716)
(0.4218780994415283, 20.338466274299314)
(0.4843740463256836, 21.937404593630152)
(0.4374966621398926, 22.030378882583275)

Promedio de tiempos:
0.4946660327911377 segundos
494.6660327911377 milisegundos

Desviación estándar:
0.13030864498503578 segundos
130.30864498503578 milisegundos

Promedio valor función objetivo:
22.18664216235582
Desviación estándar valor función objetivo:
0.13030864498503578
