Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.2968711853027344, 22.324363340978763)
(0.2968759536743164, 22.239098941986086)
(0.2968757152557373, 22.70927063472571)
(0.29686951637268066, 22.781518707144404)
(0.3011939525604248, 22.327859856275296)
(0.29668641090393066, 22.48820844920518)
(0.2969019412994385, 22.053366511197957)
(0.31249547004699707, 21.839393789491265)
(0.2968778610229492, 22.272602162513675)
(0.2968745231628418, 22.59649120353181)
(0.2968754768371582, 22.592049706747463)
(0.2972550392150879, 22.396626240339423)
(0.2964789867401123, 22.428027205556766)
(0.29685282707214355, 22.37634208944753)
(0.2968714237213135, 22.262382983019748)
(0.2968771457672119, 22.495348414742626)
(0.2968721389770508, 22.19120484317763)
(0.3125014305114746, 22.72042647041461)
(0.29685497283935547, 22.180636828560484)
(0.31250834465026855, 22.603035383219652)
(0.29686665534973145, 22.203654678526217)
(0.2968783378601074, 22.390688274957267)
(0.2968730926513672, 22.036856845076894)
(0.2968754768371582, 21.08968382954685)
(0.2968776226043701, 22.65925798971064)
(0.2812480926513672, 22.72990652307017)
(0.2968769073486328, 22.390494596015895)
(0.2968721389770508, 20.378777561430727)
(0.2968759536743164, 22.648361899277553)
(0.2968740463256836, 21.97153140851825)
(0.3124992847442627, 22.52640672627724)
(0.2812504768371582, 20.489724508373033)
(0.2968742847442627, 22.58833355915943)
(0.2968738079071045, 21.866786744126998)
(0.2968766689300537, 22.583765472993917)
(0.2968733310699463, 22.247184111872325)
(0.2968735694885254, 22.590673301930416)
(0.29567956924438477, 22.52204949182698)
(0.2968759536743164, 22.40712079799005)
(0.3124990463256836, 22.48018562876832)
(0.2968766689300537, 22.387108073335657)
(0.2968730926513672, 22.346852131565676)
(0.29687070846557617, 22.316685743040093)
(0.2968759536743164, 22.30659893293217)
(0.2968747615814209, 22.496218768225006)
(0.2812492847442627, 22.01509230176683)
(0.2968723773956299, 22.417912994702853)
(0.2968742847442627, 22.329695266471344)
(0.2968747615814209, 22.330128329701456)
(0.2968714237213135, 22.38960061632413)

Promedio de tiempos:
0.2975575590133667 segundos
297.5575590133667 milisegundos

Desviación estándar:
0.006245687568468202 segundos
6.245687568468202 milisegundos

Promedio valor función objetivo:
22.28031181739581
Desviación estándar valor función objetivo:
0.4699144086854724
