Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(2.138228416442871, 22.541660604723067)
(2.484647750854492, 22.251928549837878)
(2.0466885566711426, 22.360197009751513)
(2.0785973072052, 22.580736082014774)
(2.1517839431762695, 22.308384995173643)
(2.1685497760772705, 22.133683380480683)
(2.108562707901001, 22.196235153672614)
(2.026867151260376, 22.314358511044922)
(2.485098123550415, 22.529794906897806)
(2.1136562824249268, 22.23109981008916)
(2.124297857284546, 22.531683093212926)
(2.194632053375244, 20.573197536394346)
(2.8292572498321533, 22.631625508081438)
(2.1238322257995605, 22.453306052539627)
(2.1314594745635986, 21.100781849515027)
(2.0824644565582275, 21.860423430234565)
(2.098397970199585, 21.672061995867555)
(2.0603249073028564, 22.635761111667435)
(2.1642885208129883, 22.23859812853048)
(2.121645212173462, 22.1438956502007)
(2.119697093963623, 22.438795243178742)
(2.0923941135406494, 22.622879036407017)
(2.271196126937866, 22.580674204787766)
(2.141392707824707, 22.245311570327623)
(2.0607120990753174, 21.87520395686402)
(2.1421523094177246, 22.330848090771337)
(2.171215534210205, 22.40877873309545)
(2.2120022773742676, 22.096825291907535)
(2.2313787937164307, 20.58987321004855)
(2.2614200115203857, 22.479754403564172)
(2.2088160514831543, 22.296331977418713)
(2.151310682296753, 22.345359305046372)
(2.1846518516540527, 22.08652931723445)
(2.1884584426879883, 22.70103698448161)
(2.1588101387023926, 22.597802678475926)
(2.157675266265869, 22.458724468836436)
(2.188439130783081, 22.472339073884417)
(2.2094719409942627, 22.577849597331824)
(2.1308929920196533, 20.734182482586704)
(2.115614891052246, 22.659575671387657)
(2.0246999263763428, 22.50701100553964)
(2.0482847690582275, 22.205390860263428)
(2.087113857269287, 22.43612855182471)
(2.142463207244873, 22.111787768785305)
(2.137906551361084, 22.43272127734773)
(2.0134432315826416, 22.176900658993883)
(2.2295310497283936, 22.32726967695344)
(2.064032554626465, 22.62209778876464)
(2.115959882736206, 22.158747217520236)
(2.0344581604003906, 22.325449195232775)

Promedio de tiempos:
2.1605775117874146 segundos
2160.5775117874146 milisegundos

Desviación estándar:
0.13226998616165805 segundos
132.26998616165807 milisegundos

Promedio valor función objetivo:
22.22383185317584
Desviación estándar valor función objetivo:
0.48898782686878844
