Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.6914596557617188, 22.47140697597637)
(0.9551346302032471, 21.855965469544678)
(1.1272492408752441, 22.052561470631627)
(0.7850215435028076, 22.258202291571255)
(0.7560024261474609, 22.052220068858613)
(0.7159759998321533, 22.097237070973076)
(1.1857876777648926, 22.075143684606065)
(0.9976625442504883, 20.78618738066636)
(0.9606380462646484, 22.768291961754926)
(0.8565692901611328, 22.16379071546714)
(0.9181103706359863, 22.35351196120618)
(0.7014646530151367, 22.20006118601796)
(1.097285509109497, 22.559940062952926)
(0.9201805591583252, 22.301675801170408)
(1.0672094821929932, 22.32708762412884)
(0.7740151882171631, 20.0262593424031)
(0.8685774803161621, 22.147526547988086)
(0.9417927265167236, 22.512008662107046)
(0.7857019901275635, 22.303693170941454)
(0.8310530185699463, 22.72278699888156)
(0.8060359954833984, 22.254314362475263)
(0.9576363563537598, 22.524181934028437)
(0.7845208644866943, 22.414534157191575)
(0.838557243347168, 22.448832427554393)
(0.9796497821807861, 22.202881612538736)
(0.7459955215454102, 22.09169547646553)
(0.7209789752960205, 22.397902343144896)
(0.9421253204345703, 22.693259323052)
(0.8920931816101074, 22.125324550798936)
(0.8240475654602051, 22.21380297407094)
(0.9000980854034424, 22.468183441631464)
(0.5933945178985596, 22.278728563809246)
(0.7860229015350342, 22.0496475189778)
(0.793527364730835, 21.574690165440995)
(0.6594383716583252, 20.590096917658872)
(0.6979637145996094, 22.3010376614853)
(0.6934609413146973, 22.50528940866966)
(0.7009663581848145, 22.25043833897398)
(0.8320536613464355, 21.862572812465558)
(0.8910937309265137, 22.641823296598783)
(1.068208932876587, 20.90673909354397)
(0.9601380825042725, 22.12161326094485)
(0.8525664806365967, 22.5266546943984)
(0.9306190013885498, 22.14436464470682)
(0.7229795455932617, 21.975761112236576)
(0.6514334678649902, 22.358519211105666)
(0.8190443515777588, 21.937217467537156)
(0.741492748260498, 21.853240723938306)
(1.0213079452514648, 22.480686048133418)
(0.903599739074707, 22.49301324739632)

Promedio de tiempos:
0.8529588556289673 segundos
852.9588556289673 milisegundos

Desviación estándar:
0.13214957864856416 segundos
132.14957864856416 milisegundos

Promedio valor función objetivo:
22.134452104776432
Desviación estándar valor función objetivo:
0.5271562916711844
