Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(3.5980024337768555, 22.50117824827695)
(3.454998731613159, 22.621713297137095)
(3.4720160961151123, 22.397330929903127)
(3.6399810314178467, 22.478403017541947)
(3.5440170764923096, 21.988589031920604)
(3.4709813594818115, 22.702333985918152)
(3.5349979400634766, 22.61995731399043)
(3.475994110107422, 22.29769551741384)
(3.394998073577881, 22.53155987953887)
(3.571000337600708, 22.215908990740427)
(3.539994716644287, 20.944029623053073)
(3.4799673557281494, 22.86979113253587)
(3.389031171798706, 22.226832639679284)
(3.4089951515197754, 22.535993944771697)
(3.6339850425720215, 22.112915947473837)
(3.543016195297241, 22.599898926303734)
(3.5479815006256104, 22.581097364519852)
(3.4060139656066895, 22.411165384201702)
(3.5079827308654785, 22.084403162097114)
(3.3930158615112305, 22.166314852863987)
(3.379964590072632, 22.59966881251507)
(3.41397762298584, 22.554110944926432)
(3.378020763397217, 22.544030981809748)
(3.5759799480438232, 22.358846051305424)
(3.481004476547241, 22.60059441637785)
(3.488004446029663, 22.4974659647121)
(3.4309871196746826, 22.296755397537698)
(3.4029643535614014, 22.58104337151296)
(3.383023977279663, 22.166402587813486)
(3.387000322341919, 22.24336255358207)
(3.4549953937530518, 22.33130448859535)
(3.4050040245056152, 22.278454378660935)
(3.511000156402588, 22.304857083805526)
(3.354998826980591, 22.333944337659506)
(3.4549777507781982, 22.39731374257711)
(3.5570008754730225, 22.495688143446188)
(3.6149983406066895, 22.21807844163434)
(3.454993963241577, 22.30601338671474)
(3.4390177726745605, 22.696835393783996)
(3.3940048217773438, 22.647705060549313)
(3.543971538543701, 22.35045873072788)
(3.5249998569488525, 22.950697446081847)
(3.4479992389678955, 22.321380924771134)
(3.569995880126953, 22.462604050183412)
(3.5429818630218506, 22.158580517484275)
(3.443020820617676, 22.53804645068154)
(3.4209794998168945, 22.49723502813409)
(3.606997489929199, 22.285786480196784)
(3.428013324737549, 22.359307476227396)
(3.4209952354431152, 22.446984154580992)

Promedio de tiempos:
3.4783769035339356 segundos
3478.3769035339355 milisegundos

Desviación estándar:
0.07615319223030263 segundos
76.15319223030264 milisegundos

Promedio valor función objetivo:
22.39421339976942
Desviación estándar valor función objetivo:
0.07615319223030263
