Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 90 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.912705898284912, 22.258673076614432)
(1.898406744003296, 22.627687243800374)
(1.8381707668304443, 22.441550971261393)
(1.803464412689209, 22.082193675342474)
(1.8503777980804443, 22.517440400580504)
(1.8555653095245361, 22.189175102700535)
(1.8153488636016846, 22.111347569428435)
(1.861839771270752, 22.22083652668175)
(1.8155591487884521, 22.50607147545002)
(1.7843379974365234, 22.512967482977782)
(1.811596155166626, 22.34396189318865)
(1.9015185832977295, 22.195085715567362)
(1.8096637725830078, 22.553304254491525)
(1.8630311489105225, 22.584896749880155)
(1.901280403137207, 20.6659040900656)
(1.7941946983337402, 22.08198103385044)
(1.937525749206543, 22.396117774125248)
(1.8494417667388916, 22.63694271441171)
(1.8275423049926758, 22.93128787191996)
(1.8210241794586182, 22.37970782049154)
(1.7656092643737793, 20.640884739715133)
(1.80865478515625, 22.06584473397777)
(1.9073286056518555, 22.86513671585939)
(1.796980619430542, 22.620188368392125)
(1.8252320289611816, 22.169715691140077)
(1.8572793006896973, 22.4516917148347)
(1.803882360458374, 22.362779107848002)
(2.045233964920044, 22.73035303165779)
(1.851991891860962, 22.7616549290675)
(1.8212535381317139, 22.34596901492151)
(1.8543598651885986, 22.219610801651875)
(1.9576141834259033, 22.374891712930502)
(1.9134576320648193, 22.374119194919956)
(1.8805170059204102, 22.579322667471192)
(1.7884666919708252, 22.4531293165047)
(1.773895263671875, 22.41348400455666)
(1.8633556365966797, 22.13784587255373)
(1.8436260223388672, 22.58540956887923)
(1.8906793594360352, 22.609475960655363)
(1.8045246601104736, 22.69771516987778)
(1.779738426208496, 22.49876091070695)
(1.9203832149505615, 22.163350260512846)
(1.8443140983581543, 22.36779133842774)
(1.8577148914337158, 22.233607674714875)
(1.9195680618286133, 20.851959866153347)
(1.7799665927886963, 22.5356178907985)
(1.8337011337280273, 22.41029591727869)
(1.8657326698303223, 22.472432063206593)
(1.8058362007141113, 22.491487396049347)
(1.8632397651672363, 22.017703264277237)

Promedio de tiempos:
1.8495346641540527 segundos
1849.5346641540527 milisegundos

Desviación estándar:
0.053893747542542336 segundos
53.893747542542336 milisegundos

Promedio valor función objetivo:
22.314787246847416
Desviación estándar valor función objetivo:
0.4539546458136671
