Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 80 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.4210047721862793, 22.468584958648467)
(0.42601752281188965, 22.594132794203915)
(0.41597795486450195, 22.250634844398604)
(0.4770019054412842, 22.458669179560893)
(0.42702198028564453, 19.98357001956806)
(0.504981517791748, 22.380412401501573)
(0.4070167541503906, 22.02744289941959)
(0.4119884967803955, 20.61888818837924)
(0.40702033042907715, 22.439984575230778)
(0.41700243949890137, 22.304083750222716)
(0.43598222732543945, 22.34446327409932)
(0.45000219345092773, 22.069195082764562)
(0.4609963893890381, 22.564778851590127)
(0.4170212745666504, 22.193009336743824)
(0.4299788475036621, 22.245542907963962)
(0.4429967403411865, 20.338595974406413)
(0.4300055503845215, 22.39417083543742)
(0.403994083404541, 22.54387521006712)
(0.4009983539581299, 22.081369500430146)
(0.40799665451049805, 22.255799147662106)
(0.41197681427001953, 22.568943273737304)
(0.4159984588623047, 20.79096722728408)
(0.4789910316467285, 22.38700766295597)
(0.43102169036865234, 22.499371102667542)
(0.48156070709228516, 22.853246970764353)
(0.44700098037719727, 22.094109822740677)
(0.401003360748291, 22.583253310212307)
(0.41197943687438965, 22.702953426066788)
(0.4310011863708496, 21.73306836401759)
(0.4089977741241455, 21.905186510338265)
(0.4160168170928955, 22.23342081413214)
(0.41198134422302246, 22.340010787093124)
(0.4210026264190674, 22.43053542474372)
(0.444016695022583, 22.405217399801227)
(0.42400193214416504, 20.53643241545222)
(0.486983060836792, 22.24152702896957)
(0.5049026012420654, 22.862691976971917)
(0.44402217864990234, 22.579328067788094)
(0.4129955768585205, 22.33334955033204)
(0.4129831790924072, 22.460352155020008)
(0.4220271110534668, 22.217212534179268)
(0.4029839038848877, 22.33810587274657)
(0.40399646759033203, 22.123349062963314)
(0.45900416374206543, 22.29267792287738)
(0.42200136184692383, 22.123009061612365)
(0.48974156379699707, 22.04906154666471)
(0.4139997959136963, 22.51515760194654)
(0.44100117683410645, 21.095291215473264)
(0.5029864311218262, 22.864843808804956)
(0.5063967704772949, 22.613388796902758)

Promedio de tiempos:
0.43515164375305176 segundos
435.15164375305176 milisegundos

Desviación estándar:
0.03082854358525927 segundos
30.828543585259272 milisegundos

Promedio valor función objetivo:
22.146605488951177
Desviación estándar valor función objetivo:
0.03082854358525927
