Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(7.900392293930054, 22.463343691187298)
(7.8464062213897705, 22.72025987195024)
(7.876849412918091, 22.79977620523527)
(7.8387932777404785, 22.380929012449965)
(7.872830390930176, 22.313851446769714)
(7.79868221282959, 22.09160924767041)
(7.954787492752075, 22.427402932570118)
(7.861932277679443, 22.5298650123525)
(7.897748231887817, 22.309566709510804)
(7.839308500289917, 22.394771564740108)
(7.869229555130005, 22.539489395415266)
(7.922053337097168, 22.068374347272012)
(7.933271646499634, 22.43504209981252)
(7.8543126583099365, 22.526742006187376)
(7.859254837036133, 22.644900706045267)
(7.838784694671631, 22.197739493741246)
(7.846920013427734, 22.467696753950147)
(7.835207223892212, 22.604528551539783)
(7.830304861068726, 22.57280462850882)
(7.8535730838775635, 22.594570347509375)
(7.865719318389893, 22.242715308905815)
(7.842987775802612, 22.485929264310915)
(7.9168620109558105, 22.50638616646618)
(7.845710277557373, 22.559151536307773)
(7.824199199676514, 22.81652847983342)
(7.906033992767334, 22.4398416617156)
(7.775859832763672, 21.904210457943762)
(7.915138483047485, 22.070178362602427)
(7.72918438911438, 22.239460135028757)
(7.830889463424683, 22.058236023018015)
(7.84805154800415, 22.57177700966081)
(7.831330060958862, 22.439004748293126)
(7.8503499031066895, 22.412513496394887)
(7.867307901382446, 22.53058996964133)
(7.840986013412476, 22.29568438071083)
(7.829844951629639, 22.59313665571199)
(7.815194129943848, 22.40616089730634)
(7.850337505340576, 22.31606570067717)
(7.823938608169556, 22.34562773249086)
(7.810189962387085, 22.277411402052987)
(7.49347996711731, 20.96004060875191)
(7.840593576431274, 22.412315093301828)
(7.851744890213013, 22.195492323481595)
(7.879527807235718, 22.299234243682058)
(7.865728378295898, 22.22548917359949)
(7.906390428543091, 22.87518071921029)
(7.907494306564331, 22.58683268100855)
(7.869831323623657, 22.596626093756406)
(7.861132621765137, 22.268516020211468)
(7.90925407409668, 22.38683068869787)

Promedio de tiempos:
7.850718698501587 segundos
7850.718698501587 milisegundos

Desviación estándar:
0.06482863991858193 segundos
64.82863991858193 milisegundos

Promedio valor función objetivo:
22.388008621183857
Desviación estándar valor función objetivo:
0.2858344184750175
