Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 60 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(8.644786357879639, 22.606429187275857)
(8.598742008209229, 22.37832962946982)
(8.907918691635132, 22.849371049991856)
(8.979968070983887, 22.478251156648152)
(8.622745275497437, 22.523651236896264)
(8.616861820220947, 22.06751772101887)
(8.544678449630737, 21.985754738839585)
(8.885006666183472, 22.05188940096427)
(8.77196979522705, 20.67644857517626)
(8.621729373931885, 22.464254082180382)
(8.8018479347229, 22.54154492646896)
(8.891940832138062, 22.328743054869662)
(8.673897743225098, 22.21831248807158)
(8.853518962860107, 22.136191245264605)
(8.99462628364563, 22.57207106382143)
(8.54371428489685, 22.397439696054057)
(8.550724506378174, 22.19694836099731)
(8.999997615814209, 22.28384339753258)
(8.418594360351562, 22.171939100818797)
(8.764824151992798, 22.722853533613247)
(8.758841514587402, 20.940501287935763)
(8.797977447509766, 21.897159650770078)
(8.573809146881104, 22.32235047727867)
(8.495644569396973, 21.940355671121782)
(8.515658378601074, 22.531015673801658)
(8.555716276168823, 22.36189789988442)
(8.573877573013306, 22.30337922299394)
(8.491644144058228, 22.043345971591144)
(8.540675640106201, 22.48706923999425)
(8.527251243591309, 22.259651005431405)
(8.587740421295166, 20.491212020681832)
(8.611382246017456, 22.238554784079295)
(8.71294116973877, 22.12323734640441)
(8.617727756500244, 22.16822411327609)
(8.564692497253418, 22.531579124202466)
(8.604835510253906, 20.722963703894056)
(8.439625263214111, 22.325769867286656)
(8.546679019927979, 22.4253536921788)
(8.807873964309692, 22.250250208972425)
(8.651748895645142, 22.816171599361997)
(8.556061029434204, 21.660563903068397)
(8.523747444152832, 22.463507511350905)
(8.527667760848999, 22.587895690181128)
(8.589724063873291, 22.607672496377226)
(8.486655473709106, 22.790582602581757)
(8.67683219909668, 22.518375409213753)
(8.785841226577759, 22.684647620228823)
(8.735806703567505, 22.316545920895663)
(8.768828392028809, 22.297521514757815)
(8.518660306930542, 22.31966975135285)

Promedio de tiempos:
8.656685209274292 segundos
8656.685209274292 milisegundos

Desviación estándar:
0.1475190440395412 segundos
147.5190440395412 milisegundos

Promedio valor función objetivo:
22.221576172542463
Desviación estándar valor función objetivo:
0.5086436584258771
