Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 30 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.6154079437255859, 30.90584328555361)
(0.913607120513916, 30.936131599443772)
(0.7585015296936035, 31.09521536385592)
(0.8740806579589844, 30.935354888883374)
(0.7525005340576172, 30.97886180285412)
(0.9091033935546875, 30.97281765056003)
(0.719045877456665, 31.008831793552126)
(0.5789620876312256, 31.02728999783281)
(0.9596366882324219, 30.887531273076082)
(1.0003039836883545, 30.918601627229556)
(0.7790181636810303, 30.929426067989514)
(1.1597702503204346, 30.96436249412244)
(0.6174106597900391, 30.975864429346856)
(0.996161937713623, 30.997869519810116)
(0.8495645523071289, 30.886627207673644)
(0.9025988578796387, 30.942826966500835)
(0.8375563621520996, 30.942703949822214)
(0.984656810760498, 30.938086782011478)
(0.6804518699645996, 31.012964327904367)
(0.8230469226837158, 30.90294047068513)
(0.8881473541259766, 31.07291488512928)
(1.2418956756591797, 30.933217041771275)
(0.8785839080810547, 30.986860197361658)
(0.95363450050354, 30.96082868878062)
(0.6594383716583252, 30.940335765948017)
(0.8235464096069336, 30.879027354266277)
(0.7550008296966553, 30.936893471323845)
(1.0131733417510986, 30.862398254430996)
(0.9731471538543701, 31.021674207212588)
(0.9171082973480225, 31.07537362405657)
(0.8465614318847656, 30.933419700862903)
(1.0697107315063477, 30.969524746495527)
(0.662440299987793, 30.874860258734227)
(0.9786508083343506, 30.919744251965103)
(0.9351215362548828, 30.971861362363576)
(0.9471299648284912, 30.960175085238607)
(1.1762819290161133, 30.914442716225114)
(0.8735802173614502, 30.966858139159598)
(0.726982831954956, 30.82895383226344)
(0.8650753498077393, 30.856243602723517)
(0.6989638805389404, 31.05295130015521)
(0.8940978050231934, 30.879283279181113)
(0.8121705055236816, 31.00280149506754)
(0.6654422283172607, 30.885768296108697)
(1.0818603038787842, 30.956365089947536)
(0.8045351505279541, 30.902208852215495)
(0.8295514583587646, 31.134453935379174)
(0.9976627826690674, 30.90853294597314)
(0.7795181274414062, 31.00733875834059)
(0.8255484104156494, 31.02618987049095)

Promedio de tiempos:
0.8657189559936523 segundos
865.7189559936523 milisegundos

Desviación estándar:
0.14579052489768002 segundos
145.79052489768003 milisegundos

Promedio valor función objetivo:
30.95563305015761
Desviación estándar valor función objetivo:
0.06398864333281298
