Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 90 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(11.671804666519165, 22.48552224108955)
(11.658747911453247, 22.591785813151397)
(11.608812093734741, 22.181625830790274)
(11.551175117492676, 22.692331293688515)
(11.643239259719849, 22.790062682409012)
(11.563279151916504, 22.18829583096405)
(11.66475224494934, 22.58687037022967)
(11.483132123947144, 22.649927526795466)
(11.57969355583191, 22.396224622351177)
(11.538669109344482, 22.539417372311295)
(11.500142812728882, 22.215866962512745)
(11.56117868423462, 22.71644173117011)
(11.532164335250854, 22.222426430051545)
(11.495638132095337, 22.329106851348012)
(11.49313759803772, 22.52041489224275)
(11.608714818954468, 22.65052480451783)
(11.50723648071289, 22.308378499792088)
(11.384065389633179, 22.205137713449158)
(11.521476745605469, 22.71206741268344)
(11.584697961807251, 22.37815218487832)
(11.575735569000244, 22.2517966550287)
(11.516733169555664, 22.312272524682495)
(11.541168212890625, 22.634427526438667)
(11.493638753890991, 22.556039294996125)
(11.603207349777222, 22.63323120546903)
(11.470622301101685, 22.668303779175787)
(11.473625898361206, 22.584624089448386)
(11.62636423110962, 22.24575131303463)
(11.63372540473938, 22.372513074277673)
(11.562683582305908, 22.29310207420367)
(11.569339513778687, 22.32548522969113)
(11.554180145263672, 22.401194006741626)
(11.577192783355713, 22.461931077996212)
(11.599810361862183, 22.789607340435744)
(11.648741245269775, 22.672723763198803)
(11.55668020248413, 22.38114974667854)
(11.549734592437744, 22.3438500928355)
(10.991303205490112, 20.48628451520686)
(11.528160810470581, 22.35052957168986)
(11.551177263259888, 21.987185300732175)
(11.595705509185791, 22.441050075046892)
(11.554178476333618, 22.57222313748718)
(11.5561842918396, 22.668235179301373)
(11.029435396194458, 20.899322704991008)
(11.054964542388916, 20.88816260170864)
(11.569824457168579, 22.527349799591978)
(11.491136074066162, 22.62578980616075)
(11.616991758346558, 22.287976765588937)
(11.573798418045044, 22.634473295230904)
(11.453111410140991, 22.45654948168109)

Promedio de tiempos:
11.52541826248169 segundos
11525.41826248169 milisegundos

Desviación estándar:
0.13905998838840505 segundos
139.05998838840506 milisegundos

Promedio valor función objetivo:
22.362274321903538
Desviación estándar valor función objetivo:
0.4465540774987688
