Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 90 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(5.276296854019165, 22.553187660269973)
(5.682201623916626, 22.146047161857595)
(5.258967399597168, 22.18421470182213)
(5.28108024597168, 22.65236691277996)
(5.207050800323486, 22.108920762303782)
(5.2540810108184814, 22.40706154852104)
(5.332036972045898, 22.28321094146255)
(5.271470069885254, 22.42960425708514)
(5.193851709365845, 22.57127620278296)
(5.256308317184448, 21.999818916907255)
(5.215890645980835, 22.421387691696115)
(5.24770450592041, 22.380768904400124)
(5.266383647918701, 22.438522696781437)
(5.259433031082153, 22.23542027743787)
(5.333415985107422, 22.390930148515967)
(5.26167368888855, 22.115741714517757)
(5.198867559432983, 22.377494007322532)
(5.330890893936157, 22.028405014714757)
(5.230172395706177, 22.75356893529282)
(5.251053333282471, 22.566211769459922)
(6.02217698097229, 20.64901531845101)
(5.942350387573242, 22.47944743316552)
(6.762059211730957, 22.63248010342854)
(7.0054309368133545, 22.300700913569166)
(6.6479620933532715, 22.311719388600494)
(7.223251581192017, 22.26062959556478)
(7.512843132019043, 22.280645897398657)
(7.539859771728516, 22.188615327245106)
(7.533181428909302, 22.53663705206158)
(8.044065952301025, 22.189365506967064)
(6.835588455200195, 22.644869371751483)
(5.802002429962158, 22.485706831532394)
(5.692443132400513, 22.35313569216558)
(5.4568846225738525, 22.496783551106066)
(5.29400110244751, 22.232177524367756)
(5.259829521179199, 22.44279059085236)
(5.307023048400879, 22.231784406655148)
(5.324036359786987, 22.63849128207834)
(5.585055589675903, 22.45365516950994)
(5.472503185272217, 21.0758113823477)
(5.177379369735718, 21.927979196350716)
(5.484970569610596, 22.354125387478145)
(5.3349289894104, 22.42343904136169)
(5.36018705368042, 22.23917214660776)
(5.295064926147461, 22.432501019021494)
(5.2763190269470215, 22.31649597895438)
(5.3158485889434814, 22.06316630262088)
(5.445327043533325, 22.301403652286634)
(5.394398927688599, 22.569918857753496)
(5.380619049072266, 22.32151628460595)

Promedio de tiempos:
5.7067284631729125 segundos
5706.728463172913 milisegundos

Desviación estándar:
0.759695845576801 segundos
759.695845576801 milisegundos

Promedio valor función objetivo:
22.29756680863583
Desviación estándar valor función objetivo:
0.3469055349122856
