Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 60 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.4476985931396484, 20.638269439962393)
(1.5582876205444336, 22.283561684513543)
(1.4210712909698486, 22.059967422190578)
(1.2604343891143799, 22.100803307786006)
(1.4907588958740234, 22.264467218022606)
(1.5620288848876953, 22.623383878528873)
(1.5263056755065918, 22.149330779045822)
(1.2730474472045898, 22.45275138516593)
(1.8026580810546875, 22.277459067096395)
(1.4781568050384521, 22.341498040999593)
(1.6908581256866455, 20.833951829070703)
(1.406036615371704, 22.66610723542789)
(1.7684953212738037, 22.302980961047695)
(1.7146661281585693, 22.55198269314863)
(1.237778902053833, 22.44341319596974)
(1.6556499004364014, 22.2104592339496)
(1.5969548225402832, 22.079736781549975)
(1.600661277770996, 22.16604512884661)
(1.4314448833465576, 21.98444427783375)
(1.5471506118774414, 22.51411462358453)
(1.6857669353485107, 22.488820571151145)
(1.2769792079925537, 22.588150391046014)
(1.6217803955078125, 22.59812621547445)
(1.6105124950408936, 22.071169944791507)
(1.3946716785430908, 22.158392241189482)
(1.5185372829437256, 22.061754694608403)
(1.3701732158660889, 20.57711020849141)
(1.2465283870697021, 22.047019511055435)
(1.2425792217254639, 22.72476617628797)
(1.3076229095458984, 22.170124684062376)
(1.4144237041473389, 22.543703479649945)
(1.201915979385376, 22.396891679560042)
(1.218930721282959, 22.657996762579565)
(1.3760499954223633, 22.337518608457735)
(1.457585096359253, 22.132536104058)
(1.0688838958740234, 22.52842950944888)
(1.2383790016174316, 22.64406137240981)
(1.221700668334961, 22.220996151728478)
(1.199988603591919, 22.420969312201287)
(1.2474932670593262, 20.876931442488665)
(1.2766284942626953, 22.477355607941675)
(1.4405605792999268, 22.58255921868135)
(1.642026662826538, 22.091684372861717)
(1.9548628330230713, 22.680976443487463)
(1.2937862873077393, 22.0140483548827)
(1.2692441940307617, 22.146345202282916)
(1.259157419204712, 22.064775141627013)
(1.0688872337341309, 22.3975197732402)
(1.1836159229278564, 22.490702166543155)
(1.0962562561035156, 22.447014995529727)

Promedio de tiempos:
1.4175134563446046 segundos
1417.5134563446045 milisegundos

Desviación estándar:
0.20143719154096132 segundos
201.43719154096132 milisegundos

Promedio valor función objetivo:
22.211663570431188
Desviación estándar valor función objetivo:
0.20143719154096132
