Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 80 iteraciones y 50 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(6.70504093170166, 22.333050093983474)
(7.050572872161865, 22.481173457190362)
(6.709444761276245, 22.77352731974999)
(7.180757284164429, 22.23320738504515)
(6.481370449066162, 21.911786865472273)
(6.7136523723602295, 22.41894335457462)
(6.501997470855713, 22.3447338386425)
(6.728564262390137, 22.20036015899931)
(6.8295745849609375, 22.63282213175857)
(7.013327121734619, 22.563504323439204)
(6.595202445983887, 22.4071517769452)
(6.602639675140381, 22.645281837943685)
(6.754168272018433, 22.71095101356022)
(6.560873508453369, 22.7656031996486)
(6.346677541732788, 20.89588398400162)
(7.313011407852173, 22.836749786030172)
(6.485921144485474, 22.36371035188025)
(6.3866119384765625, 22.54859329734322)
(6.490273952484131, 20.703328492108692)
(6.4379730224609375, 22.485870938614415)
(6.602999448776245, 22.638483307230896)
(6.942424297332764, 22.513466310281416)
(6.907766580581665, 20.41404676983431)
(6.694560527801514, 22.579018656280724)
(7.134998798370361, 20.692788040692964)
(7.031170845031738, 22.86714089938522)
(6.737934589385986, 22.36187646291179)
(6.777903318405151, 22.676136969062764)
(6.461060047149658, 22.496338494738456)
(6.591402292251587, 22.198550856750725)
(6.798974275588989, 22.305404488168904)
(7.081810235977173, 22.36224716309782)
(6.813653945922852, 22.389005922691688)
(6.818602800369263, 22.451916326501312)
(7.131235122680664, 22.37496242670942)
(6.623377323150635, 22.526160757778843)
(6.680228233337402, 22.023523544468283)
(6.863131999969482, 22.64984514888467)
(6.658117055892944, 22.341234156741343)
(6.788603067398071, 22.833191626558776)
(6.40082573890686, 21.04646141492885)
(6.79983377456665, 22.745070118739232)
(6.729122161865234, 22.261272392673266)
(6.864629030227661, 22.30330531883367)
(6.440091609954834, 21.143462016517265)
(6.277538299560547, 22.338236948986083)
(6.613340854644775, 22.1623331395004)
(6.5128703117370605, 22.11083043129004)
(6.6004698276519775, 22.110241055172295)
(7.09202766418457, 22.48477646104654)

Promedio de tiempos:
6.727167181968689 segundos
6727.167181968689 milisegundos

Desviación estándar:
0.2365376774528239 segundos
236.53767745282389 milisegundos

Promedio valor función objetivo:
22.25315122466779
Desviación estándar valor función objetivo:
0.5769012732680666
