Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 10 iteraciones y 40 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.805260419845581, 22.234049084819098)
(0.431079626083374, 22.74211340175885)
(0.40065836906433105, 22.78205671384567)
(0.5700986385345459, 22.226215459859255)
(0.5434925556182861, 22.455547676280627)
(0.5324351787567139, 22.381753430395886)
(0.4110982418060303, 21.50866003908282)
(0.5208401679992676, 22.645000369807015)
(0.46941065788269043, 22.373003072418605)
(0.399672269821167, 22.19671139639606)
(0.40006303787231445, 22.426499668501883)
(0.4161825180053711, 22.131200771970757)
(0.4006826877593994, 22.316048991107177)
(0.4002234935760498, 22.461378974520915)
(0.4001340866088867, 22.447924415691034)
(0.3944129943847656, 22.539983427551903)
(0.4040987491607666, 22.535018654503183)
(0.41698288917541504, 20.691680323413763)
(0.39104413986206055, 22.216822751843274)
(0.40474748611450195, 22.416228170707594)
(0.4117119312286377, 22.71606276969368)
(0.4522707462310791, 22.573069939812687)
(0.4469759464263916, 22.093208732606282)
(0.4790372848510742, 22.550703257328887)
(0.4601457118988037, 22.200413575124657)
(0.46388721466064453, 22.417144068183052)
(0.4121556282043457, 22.35179097042987)
(0.40096592903137207, 22.305761840716663)
(0.4162261486053467, 22.312200674692946)
(0.40864038467407227, 22.371134424060497)
(0.4241979122161865, 22.54438845536829)
(0.4280214309692383, 22.255825805514526)
(0.4649045467376709, 22.61604007550436)
(0.43186020851135254, 22.51104566976618)
(0.43918728828430176, 22.55396180542463)
(0.407315731048584, 22.10632605634812)
(0.7795453071594238, 22.62508163623734)
(0.5198531150817871, 22.535203652198565)
(0.5348005294799805, 22.599809018788573)
(0.4131813049316406, 22.04737565425515)
(0.3935420513153076, 22.13447859122803)
(0.4575076103210449, 22.627689518894424)
(0.4551069736480713, 22.694337197530473)
(0.47632527351379395, 22.297651103889635)
(0.5018401145935059, 22.353618629637317)
(0.5102171897888184, 22.234474261817365)
(0.41714048385620117, 22.545376974954735)
(0.40334296226501465, 22.38991568137887)
(0.42279696464538574, 22.226906454063755)
(0.39825963973999023, 22.406227160982485)

Promedio de tiempos:
0.4548716354370117 segundos
454.8716354370117 milisegundos

Desviación estándar:
0.08270237241700672 segundos
82.70237241700671 milisegundos

Promedio valor función objetivo:
22.35850240901815
Desviación estándar valor función objetivo:
0.08270237241700672
