Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 50 iteraciones y 20 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(1.0624971389770508, 22.32819676366881)
(1.0468709468841553, 22.30893548365216)
(1.0613713264465332, 22.591834085232932)
(1.0624492168426514, 22.28455504453632)
(1.0781140327453613, 22.4960398661148)
(1.0781686305999756, 22.128417039843473)
(1.0624423027038574, 22.042796079244454)
(1.093782901763916, 20.632475005486683)
(1.0780997276306152, 22.069864639497197)
(1.0625362396240234, 22.317908244245118)
(1.0625219345092773, 22.311227363720764)
(1.0647616386413574, 22.344191621609685)
(1.0781240463256836, 20.55397692474941)
(1.060262680053711, 22.154356574489956)
(1.0625004768371582, 22.29541915776219)
(1.0781233310699463, 22.40700695216546)
(1.0657570362091064, 22.449067193939857)
(1.062499761581421, 22.171671429621362)
(1.0625030994415283, 22.412379904885253)
(1.093747615814209, 22.430075305648856)
(1.0624983310699463, 22.480705957845938)
(1.0625009536743164, 22.184289652965795)
(1.062495231628418, 22.256942848411434)
(1.0468764305114746, 20.51156818556558)
(1.062495231628418, 22.407412998876204)
(1.0636684894561768, 22.201010366111788)
(1.03125, 21.917023915367228)
(1.0781276226043701, 22.449661699213095)
(1.0624969005584717, 22.545867020734356)
(1.125, 21.910791016112665)
(1.062495470046997, 22.029747962513568)
(1.0625052452087402, 22.07723325133845)
(1.0624961853027344, 22.43353357125602)
(1.089275598526001, 20.463635515269445)
(1.0624914169311523, 22.45031174617656)
(1.0624959468841553, 22.341680396325884)
(1.0781238079071045, 22.667041543539643)
(1.0625050067901611, 22.24394162915845)
(1.0624990463256836, 22.51145863879644)
(1.140622854232788, 21.774969382612433)
(1.062502384185791, 22.270863648322784)
(1.0624964237213135, 22.112702393176598)
(1.0625004768371582, 22.018358415581098)
(1.0781254768371582, 21.924793194941458)
(1.0625004768371582, 22.12292439477361)
(1.0624985694885254, 22.22434782402608)
(1.0624983310699463, 22.130636393373162)
(1.0937514305114746, 20.800630275348887)
(1.0781245231628418, 22.203962822945392)
(1.0624969005584717, 22.12912248615507)

Promedio de tiempos:
1.0693509769439697 segundos
1069.3509769439697 milisegundos

Desviación estándar:
0.017318786342580973 segundos
17.318786342580974 milisegundos

Promedio valor función objetivo:
22.090551276538996
Desviación estándar valor función objetivo:
0.5341297967141971
