Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 20 iteraciones y 70 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(0.5468976497650146, 22.81224539579082)
(0.45311427116394043, 22.28076050273221)
(0.5312352180480957, 20.70962217535887)
(0.7187612056732178, 20.666549597106926)
(0.718745231628418, 22.284914908539072)
(0.641899585723877, 22.792024064740904)
(0.671879768371582, 22.268306746007966)
(0.49999332427978516, 22.590253165230767)
(0.4843909740447998, 22.28466544658442)
(0.4843611717224121, 22.474700558521572)
(0.578132152557373, 22.100826429045547)
(0.6249868869781494, 22.31978557225106)
(0.6562600135803223, 22.268491775798196)
(0.6562509536743164, 22.663434763757788)
(0.8437418937683105, 22.330953353982398)
(0.4374964237213135, 22.34274926567954)
(0.562507152557373, 22.66682629766655)
(0.687495231628418, 21.58072240391858)
(0.609375, 22.557207895737726)
(0.8593804836273193, 22.80936142539583)
(0.6093733310699463, 21.973046183845117)
(0.6262578964233398, 22.609341940026564)
(0.6874938011169434, 22.28166669760479)
(0.531252384185791, 22.67837627471017)
(0.6093721389770508, 22.562615844292534)
(0.5625081062316895, 22.274715179960456)
(0.5000123977661133, 22.275937704243553)
(0.7499892711639404, 22.149789757881422)
(0.6718893051147461, 22.496744849301162)
(0.7343575954437256, 22.3236771748166)
(0.5312600135803223, 21.937829230670758)
(0.7193505764007568, 22.100311932145985)
(0.6868994235992432, 22.745019265247734)
(0.6718869209289551, 22.44581916389081)
(0.5937409400939941, 22.505563878006495)
(0.6406278610229492, 20.462733858029107)
(0.46874117851257324, 22.217360149649743)
(0.7656283378601074, 22.475258523771657)
(0.515627384185791, 21.918269604766053)
(0.6874992847442627, 22.5393475280726)
(0.5468766689300537, 22.38756273574882)
(0.6250045299530029, 22.21767491988083)
(0.6406185626983643, 22.303639530361327)
(0.6875011920928955, 22.545809901600943)
(0.6418194770812988, 22.680283021422085)
(0.5625028610229492, 22.00054026490501)
(0.5312557220458984, 22.049096511041206)
(0.5156345367431641, 22.055008064380047)
(0.6249921321868896, 20.652785723109588)
(0.5156285762786865, 22.043678487851615)

Promedio de tiempos:
0.6144501399993897 segundos
614.4501399993896 milisegundos

Desviación estándar:
0.09580220260524845 segundos
95.80220260524845 milisegundos

Promedio valor función objetivo:
22.214278112901635
Desviación estándar valor función objetivo:
0.09580220260524845
