Tiempos de ejecución y valor de la función objetivo de metaheurística con 50 repeticiones de 70 iteraciones y 90 hormigas:

(Tiempo de ejecución, Valor función objetivo)
(9.405015230178833, 22.46455876156882)
(9.421470165252686, 22.281390341271155)
(9.437500953674316, 22.4494082016777)
(9.401923656463623, 22.71277464909793)
(9.421844005584717, 22.39012091021318)
(9.406315565109253, 22.254376251132648)
(9.359349966049194, 22.536769278627254)
(9.391770124435425, 22.299545264117658)
(9.359960794448853, 22.44106296352715)
(9.422545194625854, 22.549397577675883)
(9.422637224197388, 22.354059919114157)
(9.408233404159546, 22.73775759591065)
(9.41781234741211, 22.48509351469139)
(9.42238974571228, 22.720849770316434)
(9.298052072525024, 22.218100864622404)
(9.359376192092896, 22.236193561936606)
(9.40625, 22.679623729696797)
(9.410723447799683, 22.526780481262858)
(9.346152782440186, 22.197187460641988)
(9.391782999038696, 22.971837855201496)
(9.392555236816406, 22.491273138595126)
(9.376049280166626, 22.615193557795948)
(9.42293906211853, 22.112099607633386)
(9.438655138015747, 22.755996797887097)
(9.431064367294312, 22.43253677425765)
(9.42544412612915, 22.731706931207118)
(9.406806230545044, 22.154208709245182)
(9.417819738388062, 22.669619951568354)
(9.406250953674316, 22.495851755997315)
(9.438042879104614, 22.359347900778356)
(9.055049657821655, 20.514895286903023)
(9.319358110427856, 22.129237364913017)
(9.391827821731567, 22.948185549543847)
(9.048044681549072, 21.002991441604348)
(9.35699987411499, 22.2782292489345)
(9.422973155975342, 22.52369949372376)
(9.423012256622314, 22.513718528797803)
(9.404030799865723, 22.659920440362402)
(9.406934022903442, 22.419556140046563)
(9.389990329742432, 22.430179757982852)
(9.421875, 22.55925277021017)
(9.408371686935425, 22.486885373212363)
(9.439021110534668, 22.722799312939667)
(9.407344818115234, 22.519342820743113)
(9.40142035484314, 22.30200482484586)
(9.390676021575928, 22.535167642492198)
(9.375000953674316, 22.478363647719675)
(9.406997203826904, 22.513944239273993)
(9.40550684928894, 22.600124117841904)
(9.424011468887329, 22.526951107165704)

Promedio de tiempos:
9.387303581237793 segundos
9387.303581237793 milisegundos

Desviación estándar:
0.07441229292956918 segundos
74.41229292956918 milisegundos

Promedio valor función objetivo:
22.41980346373053
Desviación estándar valor función objetivo:
0.3920839587473017
